update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00116154,2500,921,109,133,124,129,133,133,145,109,113,105,120,122,125,145,140,134,131,101,116,133
100,0.000316527,2500,923,108,135,124,129,134,133,145,109,113,105,119,122,125,145,140,134,131,101,115,133
200,-3.76464e-05,2500,923,106,137,124,129,135,133,145,109,113,105,119,122,125,145,140,134,130,101,115,133
300,-0.00171267,2500,926,106,139,124,129,136,133,145,109,113,105,119,122,125,144,140,134,130,101,113,133
400,-0.00298994,2500,928,106,141,124,129,137,133,145,109,113,104,119,122,124,144,140,134,130,101,112,133
500,-0.00483183,2500,931,106,145,124,128,139,133,145,108,112,104,119,122,122,144,140,134,130,101,111,133
600,-0.00599705,2500,933,106,147,124,128,140,133,144,108,112,104,119,122,122,143,140,134,130,100,111,133
700,-0.00681725,2500,933,106,149,124,128,141,132,144,108,112,104,118,122,122,142,140,134,130,100,111,133
800,-0.00726185,2500,934,106,151,124,128,141,132,143,108,111,104,118,122,122,142,140,134,130,100,111,133
900,-0.00902484,2500,936,105,155,123,128,143,132,143,108,111,103,117,122,122,142,140,134,130,100,109,133
1000,-0.00976958,2500,939,105,157,123,127,144,132,143,108,111,102,117,122,122,141,140,134,130,100,109,133
