update,host_square_frequencies
0,
100,4: 42; 9: 1; 16: 102; 25: 1; 64: 3; 576: 1; 1024: 2; 1600: 1; 65536: 2; 1073741824: 3; 1401229489: 1; 1702222564: 1; 1802172304: 1; 3085135936: 1; 4294705156: 1; 
200,4: 76; 9: 1; 16: 272; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 1073741824: 3; 1401229489: 1; 1702222564: 1; 1802172304: 1; 2187245824: 1; 3085135936: 1; 3238975744: 1; 4294705156: 2; 
300,4: 127; 9: 38; 16: 444; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 189227536: 1; 1073741824: 3; 1401229489: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2187245824: 1; 3085135936: 1; 3238975744: 1; 4294705156: 4; 
400,4: 193; 9: 104; 16: 614; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 189227536: 1; 1073741824: 3; 1401229489: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2187245824: 1; 3085135936: 1; 3238975744: 1; 4294705156: 5; 
500,4: 260; 9: 171; 16: 785; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 5982916: 1; 189227536: 1; 1073741824: 3; 1401229489: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2187245824: 1; 3085135936: 1; 3238975744: 1; 4077588736: 1; 4294705156: 6; 
600,4: 327; 9: 238; 16: 956; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 5982916: 1; 189227536: 1; 373455625: 1; 927324304: 1; 1073741824: 3; 1401229489: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2187245824: 1; 3085135936: 1; 3238975744: 1; 4077588736: 1; 4167735364: 1; 4294705156: 8; 
700,4: 393; 9: 304; 16: 1126; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 5982916: 1; 35904064: 1; 142396489: 1; 189227536: 1; 198471744: 1; 373455625: 1; 927324304: 1; 1000583424: 1; 1073741824: 3; 1401229489: 1; 1514143744: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2187245824: 1; 3085135936: 1; 3238975744: 1; 4077588736: 1; 4167735364: 1; 4294705156: 9; 
800,4: 461; 9: 326; 16: 1297; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 5982916: 1; 35904064: 1; 142396489: 1; 189227536: 1; 198471744: 1; 373455625: 1; 833592384: 1; 880249561: 1; 927324304: 1; 1000583424: 1; 1073741824: 3; 1401229489: 1; 1467656100: 1; 1514143744: 1; 1549209600: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2187245824: 1; 3085135936: 1; 3238975744: 1; 4077588736: 1; 4167735364: 1; 4294705156: 10; 
900,4: 527; 9: 326; 16: 1469; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 5982916: 1; 35904064: 1; 142396489: 1; 189227536: 1; 198471744: 1; 373455625: 1; 833592384: 1; 880249561: 1; 927324304: 1; 1000583424: 1; 1073741824: 3; 1401229489: 1; 1467656100: 1; 1514143744: 1; 1549209600: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2187245824: 1; 3085135936: 1; 3238975744: 1; 3784464324: 1; 4077588736: 1; 4167735364: 1; 4294705156: 12; 
1000,4: 594; 9: 326; 16: 1639; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 5982916: 1; 35904064: 1; 142396489: 1; 189227536: 1; 198471744: 1; 373455625: 1; 833592384: 1; 880249561: 1; 927324304: 1; 1000583424: 1; 1073741824: 11; 1401229489: 1; 1467656100: 1; 1514143744: 1; 1549209600: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2187245824: 1; 2195672164: 1; 3085135936: 1; 3238975744: 1; 3784464324: 1; 4077588736: 1; 4167735364: 1; 4294705156: 13; 
