update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00626667,1583,82,71,74,82,64,89,84,84,67,76,82,87,84,87,86,85,65,77,69,88
100,0.00647342,1582,82,71,74,82,64,89,83,84,67,76,82,87,84,87,86,85,65,77,69,88
200,0.00569245,1580,82,71,74,82,64,89,83,84,67,76,82,87,84,87,85,85,65,76,69,88
300,0.00559946,1579,82,71,74,82,64,89,83,84,67,76,82,86,84,87,85,85,65,76,69,88
400,0.00586526,1578,82,71,74,82,64,88,83,84,67,76,82,86,84,87,85,85,65,76,69,88
500,0.00626379,1572,82,70,74,81,64,88,83,84,67,76,79,86,84,87,85,85,65,76,68,88
600,0.00684847,1571,81,70,74,81,64,88,83,84,67,76,79,86,84,87,85,85,65,76,68,88
700,0.00570526,1568,81,70,74,81,64,88,83,84,67,76,79,86,83,87,85,84,65,76,68,87
800,0.00543997,1567,81,70,74,81,64,88,83,84,67,76,79,86,83,87,84,84,65,76,68,87
900,0.00480388,1563,81,70,74,81,64,88,83,82,67,76,79,86,83,87,83,84,65,76,68,86
1000,0.00434834,1562,81,70,74,81,64,88,83,82,67,76,79,86,83,87,83,84,65,75,68,86
